Key,Translation
NPCName.ArmedTorchZombie,Zombie
NPCName.ArmedZombie,Flag Zombie
NPCName.ArmedZombieCenx,Conehead Zombie
NPCName.ArmedZombieEskimo,Zomboni
NPCName.ArmedZombiePincussion,Zombie Yeti
NPCName.ArmedZombieSlimed,Catapult Zombie
NPCName.ArmedZombieSwamp,Ladder Zombie
NPCName.ArmedZombieTwiggy,Pole Vaulting Zombie
NPCName.BaldZombie,Imp Zombie
NPCName.FemaleZombie,Buckethead Zombie
NPCName.PincushionZombie,Screen Door Zombie
NPCName.SlimedZombie,Baseball Zombie
NPCName.SwampZombie,Trash Can Zombie
NPCName.TorchZombie,Zombie
NPCName.TwiggyZombie,Grounded Ballon Zombie
NPCName.Harpy,Ballon Zombie
NPCName.UmbrellaSlime,Pogo Zombie
NPCName.Zombie,Zombie
NPCName.ZombieDoctor,Zombie
NPCName.ZombieEskimo,Zombie Bobsled Team
NPCName.ZombieMushroom,Peashooter Zombie
NPCName.ZombieMushroomHat,Jalapeno Zombie
NPCName.ZombiePixie,Zombie
NPCName.ZombieRaincoat,Ducky Tube Zombie
NPCName.ZombieSuperman,Zombie
NPCName.ZombieSweater,Zombie
NPCName.ZombieXmas,Zombie
NPCName.Eyezor,Gatling Pea Zombie
NPCName.TheGroom,Dancing Zombie
NPCName.TheBride,Backup Dancer Zombie
NPCName.DoctorBones,Wall-nut Zombie
NPCName.Drippler,Bungee Zombie with Balloon
NPCName.BloodZombie,Dolphin Rider Zombie
NPCName.UndeadMiner,Digger Zombie
NPCName.Clown,Jack-in-the-Box Zombie
NPCName.EyeofCthulhu,Dr. Zomboss
NPCName.ServantofCthulhu,Fireball
NPCName.Shark,Snorkel Zombie
ItemName.SuspiciousLookingEye,Suspicious Final Wave Flag (Dr. Zomboss's Revenge)
ItemTooltip.SuspiciousLookingEye,"Summons Dr. Zomboss. \n ""Ready... Set... PLANT!"""
ItemName.EyeofCthulhuMasterTrophy,Dr. Zomboss Relic
ItemName.EyeofCthulhuTrophy,Dr. Zomboss Trophy
ItemName.EyeMask,Dr. Zomboss Mask
ItemName.EyeOfCthulhuPetItem,Cattail
ItemTooltip.EyeOfCthulhuPetItem,Summons a Pet Cattail
BuffName.EyeOfCthulhuPet,Pet Cattail
BuffDescription.EyeOfCthulhuPet,"""Woof!"" says Cattail. ""Woof woof woof! ... I refuse to be pigeonholed."""
ItemName.EoCShield,Explode-O-Nut Shield
ItemTooltip.EoCShield,Wall-nuts have hard shells which you can use to protect your other plants or even yourself.
ItemName.EyeOfCthulhuBossBag,Treasure Bag (Dr. Zomboss)
ItemName.SharkBait,Gatling Peashooter
ItemTooltip.SharkBait,Flying Gatling Pea is ready for the Air Raid...
BuffName.SharkPup,Flying Gatling Pea
BuffDescription.SharkPup,Summons a Flying Gatling Pea
Achievements.EYE_ON_YOU_Description,"Defeat Dr. Zomboss, a robotic treat that only appears at night."
