Key,Translation
"Bestiary_FlavorText.npc_Guide","A projection of the First Terrarian.  He will do his best to assist you on your quest, in ways you might not have expected... or wanted.  Though his power is nearly immeasurable, he will reign it in as it's not his place to employ it... yet.  The Guide is the one who granted many powerful abilities to humankind and transformed most of them into the Terrarians we know today."
"Bestiary_FlavorText.npc_Merchant","An elderly Lesser Terrarian hailing directly from the Continent. Merchants often immigrate to the Archipelago in order to supply Greater Terrarians who wish to begin a colony there... and, of course, profit from it!"
"Bestiary_FlavorText.npc_Nurse","The technological and magical advancements of the Terrarian race have allowed medical practices to be far more effortless than ever before!  For the Lesser variety, a simple injection of a modified Healing Potion will do. For the Greater variety, unfortunately, something pricier is required."
"Bestiary_FlavorText.npc_Demolitionist","When the Guide first gifted his powers to humankind, a clan of humans of smaller stature spurned them and instead took shelter in the caves beneath the Continent.  These humans became the Dwarves over time.  To this day, they can't get enough of explosives and the precious minerals they pave the way towards!"
"Bestiary_FlavorText.npc_Angler","When the nightly undead raids of the Archipelago become too much for a settlement to handle, it often instigates a full evacuation to the Continent.  On rare occasions, some children can be forgotten in the panic.  These unfortunate few must learn to survive on their own somehow... and fishing is both a very efficient and easily sustainable way to do so."
"Bestiary_FlavorText.npc_Dryad","The immortal Dryads were given the Powers of Purity by the Derplings long ago.  They can instantly assess the amount of Corrupt/Crimtane Infection in an area large enough to encompass an entire island in the Archipelago, allowing them to determine the best course of action to take against it and even purify some of it themselves. This made them incredibly efficient scouts during the War Against Darkness.  Unlike Terrarians, who can simply resurrect themselves on defeat, the Dryads reincarnate as a sapling in the Sacred Grove on the Continent before they can manifest their humanoid form once again, retaining all memories of their previous life."
"Bestiary_FlavorText.npc_ArmsDealer","When the Derplings created high velocity metallic projectile weapons, they had no idea how quickly the concept would gain popularity among the Terrarians for purposes such as self defense against hostile creatures such as the undead.  For some, trading and creating new twists on this concept has become a lifelong passion!"
"Bestiary_FlavorText.npc_DyeTrader","Color composition is a precise and refined art for this Terrarian.  He particularly enjoys when the Greater Terrarians create their attire from a mixture of dyes and even multiple costumes or armor sets, as opposed to using only one color or matching set of clothing."
"Bestiary_FlavorText.npc_Painter","In some islands of the Archipelago, it's customary to bring painters gifts of Sauteed Frog Legs in large amounts with no particular patterns.  It's not known why or how the Terrarians came up with this, but your resident painter will likely repay you in large amounts if you partake!"
"Bestiary_FlavorText.npc_Stylist","With the proper dye, even your hair can become a tool.  At least, that's the main selling point.  The Derplings shared their knowledge of chemicals with Terrarian hair stylists so that they could create colors that change dynamically and can be used to relay information to the user.  There's even one which reacts to the positions of the sun and moon and changes color accordingly, and it even works underground! You would think that someone with unlimited access to these tools wouldn't have gotten lost exploring a cave..."
"Bestiary_FlavorText.npc_BestiaryGirl","Rogue Lycanthropes often study and categorize their findings on many of the creatures found in the Archipelago.  Most of them resort to asking the Derplings for help on some of the life forms that are more difficult to study, in return for misinforming many of the terrarians for security purposes.  The fact that you're reading this means you're lucky enough to be deemed an exception!"
"Bestiary_FlavorText.npc_DD2Bartender","A visitor from another world, free from the influence of the Primordials.  While many universes intersect with the Terrarian Plane, the one the Tavernkeep is native to does so in a completely perpendicular fashion, meaning the ejected flotsam is less chaotic and more systematic in nature."
"Bestiary_FlavorText.npc_Golfer","A member of a strange desert-residing order which searches for a mysterious artifact known as the First Sphere.  It is said to cure many ailments of magical nature, including ones such as Lycanthropy.  Their equipment is intended for long distance sight and scouting, but can also be used in a relaxing game!"
"Bestiary_FlavorText.npc_GoblinTinkerer","This goblin has a much lower concentration of Shadowflame in his system than others, allowing him to be much more intelligent!  Unfortunately he was viewed as dangerous by his own kin as a result.  Tries his best at reforging and upgrading your gear, but he's frankly terrible at it, specializing in more convenience-oriented inventions."
"Bestiary_FlavorText.npc_WitchDoctor","The Lihzahrds seem to despise and fear magic due to some ancient memory, causing them to cast this one out of their temple for merely taking an interest in it.  Unlike most who practice magic, the Witch Doctors focus on collaborating with more Primordial influences... whatever that means."
"Bestiary_FlavorText.npc_Mechanic","Traveled to the Archipelago in order to research some of the mysterious advanced structures there, and even managed to hack through the first layer of security into one herself!  Unfortunately she was restrained by the second layer soon after."
"Bestiary_FlavorText.npc_Clothier","Once served as a vessel for the Dungeon's security system in order to keep it (and himself) safe from the Necroavirus. Eventually the virus was exterminated, but he could not separate from the system without a... catalyst."
"Bestiary_FlavorText.npc_Wizard","The more elderly and eccentric residents of the Magistic Academy on the Continent often teleport to islands in the Archipelago where an explosion of magic has been recently detected. They usually get parts of the spell incorrect, however..."
"Bestiary_FlavorText.npc_Steampunker","A soldier who wields many devices of Derptech origin.  Steampunkers were originally created to serve as cleansing soldiers in the War Against Darkness, but more recently they simply supply Greater Terrarians with the necessary equipment to cleanse infections themself."
