Key,Translation
NPCName.ArmedTorchZombie,Zombie
NPCName.ArmedZombie,Zombi Abanderado
NPCName.ArmedZombieCenx,Zombie
NPCName.ArmedZombieEskimo,Zombictor
NPCName.ArmedZombiePincussion,Zombie Yeti
NPCName.ArmedZombieSlimed,Zombie Catapulta
NPCName.ArmedZombieSwamp,Ladder Zombie
NPCName.ArmedZombieTwiggy,Zombi Saltador de Pértiga
NPCName.BaldZombie,Zombidito
NPCName.FemaleZombie,Zombie Caracubo
NPCName.PincushionZombie,Zombie Portero
NPCName.SlimedZombie,Zombie Beisbolistas
NPCName.SwampZombie,Zombie Basurero
NPCName.TorchZombie,Zombie
NPCName.TwiggyZombie,Zombie sin Globo
NPCName.Harpy,Zombie con Globo
NPCName.UmbrellaSlime,Zombie Saltarín
NPCName.Zombie,Zombie
NPCName.ZombieDoctor,Zombie
NPCName.ZombieEskimo,Zombi de Bobsleigh
NPCName.ZombieMushroom,Zombie Lanzaguisantes
NPCName.ZombieMushroomHat,Zombie Jalapeño
NPCName.ZombiePixie,Zombie
NPCName.ZombieRaincoat,Zombie Playero
NPCName.ZombieSuperman,Zombie
NPCName.ZombieSweater,Zombie
NPCName.ZombieXmas,Zombie
NPCName.Eyezor,Zombie Guisantralladora
NPCName.TheGroom,Zombie Bailón
NPCName.TheBride,Zombie Extra
NPCName.DoctorBones,Zombie Nuez
NPCName.Drippler,Zombie Colga'o con Globo
NPCName.BloodZombie,Zombie con Delfín
NPCName.UndeadMiner,Zombie Picado
NPCName.Clown,Zombie con Cajita
NPCName.EyeofCthulhu,Dr. Zomboss
NPCName.ServantofCthulhu,Bola de fuego
NPCName.Shark,Zombies Gemelos Buzos
ItemName.SuspiciousLookingEye,Bandera del Último Batallón de aspecto sospechoso (La Venganza del Dr. Zomboss)
ItemTooltip.SuspiciousLookingEye,"Invoca al Dr. Zomboss. \n ""Preparados... Listos... ¡A PLANTAR!"""
ItemName.EyeofCthulhuMasterTrophy,Reliquia del Dr. Zomboss
ItemName.EyeofCthulhuTrophy,Trofeo del Dr. Zomboss
ItemName.EyeMask,Máscara del Dr. Zomboss
ItemName.EyeOfCthulhuPetItem,Rabo de Gato
ItemTooltip.EyeOfCthulhuPetItem,Invoca a un Rabo de Gato de mascota
BuffName.EyeOfCthulhuPet,Rabo de Gato
BuffDescription.EyeOfCthulhuPet,"""¡Guau!"" ladra Rabo de gato ""Grrr... ¡Guau, guau! ... Me niego a que me encasillen de esa manera."""
ItemName.EoCShield,Escudo de Explotanuez
ItemTooltip.EoCShield,Las nueces tienen caparazones duros que pueden ser usados para porteger a tus otras plantas o incluso a ti mismo.
ItemName.EyeOfCthulhuBossBag,Bolsa del tesoro (Dr. Zomboss)
ItemName.SharkBait,Caso de guisantralladora
ItemTooltip.SharkPup,Megaguisantralladora está lista para despegar...
BuffName.SharkPup,Megaguisantralladora aérea
BuffDescription.SharkPup,Invoca una Megaguisantralladora aérea
Achievements.EYE_ON_YOU_Description,"Derrota al Dr. Zomboss, una amenaza robótica que solo aparece de noche."
Achievements.EYE_ON_YOU_Name,"La venganza del Dr. Zomboss"
